FLEX Test #,FLEX Identifier,Test Date,Test GMT,Fuel,Ambient pressure; mmHg,O initial ambient composition; mole fraction,N initial ambient composition; mole fraction,CO initial ambient composition; mole fraction,He initial ambient composition; mole fraction,Droplet initial diameter; mm,Visible flame extinction diameter; mm,Burning rate; mm,Burn time; s,Test end
261,H13H201,11/22/11,20:58:21,Heptane,532,0.2,0.45,0,0.35,3.08,1.69,0.67,5.4,Extinction
262,H13M102,11/28/11,13:13:31,Methanol,527.6,0.2,0.45,0,0.35,3.87,2.24,0.6,17.4,Extinction
263,H13M201,11/28/11,13:24:55,Methanol,527.9,0.2,0.45,0,0.35,2.95,1.5,0.63,10.6,Extinction
264,H14M101,11/28/11,15:07:28,Methanol,532.4,0.18,0.42,0,0.4,3.5,2.67,0.59,7.8,Extinction
265,H14M201,11/28/11,15:35:38,Methanol,532.9,0.18,0.42,0,0.4,2.7,1.92,0.63,5.9,Extinction
266,H14M202,11/28/11,15:54:09,Methanol,533.2,0.18,0.42,0,0.4,1.84,1.3,0.62,2.3,Extinction
267,H14H101,11/30/11,8:39:18,Heptane,528,0.18,0.42,0,0.4,2.27,1.64,0.71,3.5,Extinction
268,H14H201,11/30/11,9:49:07,Heptane,530.3,0.18,0.42,0,0.4,1.86,0.84,0.77,3.5,Extinction
269,H15H101,11/30/11,11:30:51,Heptane,532.2,0.17,0.38,0,0.45,2.22,1.86,0.76,1.9,Extinction
270,H15H201,11/30/11,12:09:00,Heptane,532.5,0.17,0.38,0,0.45,1.61,0.91,1.06,1.4,Completion
271,H15M102,12/5/2011,22:54:10,Methanol,530.4,0.17,0.38,0,0.45,2.79,2.3,0.63,4,Extinction
272,H15M201,12/5/2011,23:39:04,Methanol,531.5,0.17,0.38,0,0.45,2.68,2.31,0.66,2.9,Extinction
273,H19H101,12/8/2011,22:29:44,Heptane,764.7,0.21,0.64,0,0.15,3.54,2.91,0.55,7.6,Extinction
274,H19H201,12/8/2011,23:41:45,Heptane,766.2,0.21,0.64,0,0.15,2.82,0.73,0.65,11.7,Extinction
